msa,total_length,frac_length_withdrawn
0040,54.175,0
0080,393.321,0
0160,6047.005,0.9512619883727564
0200,180.46899999999997,0
0240,170.51000000000002,0
0320,159.09400000000002,0
0360,205.78099999999995,0
0400,94.60799999999999,0
0440,64.091,0
0480,176.796,0
0520,9214.842,0.939615568015165
0600,139.483,0
0640,63.09099999999999,0
0680,148.996,0
0720,11295.319,0.9620267475402864
0760,62.553999999999995,0
0800,96.072,0
0840,181.82000000000005,0
0880,277.735,0
0920,71.652,0
0960,155.66299999999998,0
1000,375.5689999999999,0
1040,180.83800000000002,0
1080,94.63900000000001,0
1120,53510.639,0.9892483623677154
1160,322.218,0
1170,45281.736,0.9963886985251625
1200,2469.732,0.9256619746595988
1280,339.39599999999996,0
1320,54.02,0
1360,45.372,0
1400,159.669,0
1440,82.88299999999998,0
1480,224.40200000000002,0
1520,150.731,0
1560,102.79899999999999,0
1600,28622.807,0.967954470712813
1640,433.09000000000015,0
1680,11691.091,0.9631641734719197
1720,90.708,0
1740,140.87,0
1760,368.08800000000014,0
1800,25.277,0
1840,343.47999999999996,0
1880,150.39599999999993,0
1920,783.958,0
1960,483.07099999999997,0
2000,236.13799999999998,0
2040,50.395,0
2080,42303.466,0.9921589876347249
2120,133.65200000000002,0
2160,469.74000000000007,0
2240,7040.6140000000005,0.9964763016407375
2280,149.497,0
2320,141.18200000000002,0
2360,148.90199999999996,0
2400,349.14300000000003,0
2440,132.98700000000002,0
2480,61907.396,1
2520,216.732,0
2560,48.632999999999996,0
2600,264.535,0
2640,188.38800000000003,0
2680,181.47999999999993,0
2720,191.233,0
2760,84.95200000000001,0
2800,334.1189999999999,0
2840,261.865,0
2880,55.373000000000005,0
2900,56.995,0
2920,35.567,0
2960,321.53800000000007,0
3000,156.17900000000003,0
3040,99.414,0
3080,35.931,0
3120,239.00599999999997,0
3160,64.61800000000001,0
3200,18.636,0
3240,221.888,0
3280,43685.968,0.9979085046255585
3360,422.6169999999998,0
3400,67.725,0
3440,97.59100000000001,0
3480,5176.255999999999,0.8770624945906849
3520,104.758,0
3560,211.914,0
3600,230.29700000000005,0
3640,40.471,0
3680,121.03800000000001,0
3720,40.408,0
3760,588.35,0
3800,19.476000000000003,0
3840,154.19199999999998,0
3870,104.892,0
3880,81.405,0
3920,105.346,0
3960,92.64000000000001,0
4000,71.816,0
4040,226.123,0
4080,123.166,0
4120,697.884,0
4160,92.095,0
4200,99.928,0
4240,48.199999999999996,0
4280,157.703,0
4320,37.186,0
4360,70.80099999999999,0
4400,223.817,0
4440,79.18299999999999,0
4480,10221.142999999998,0.9384673514498331
4520,285.47200000000004,0
4600,34.638,0
4680,126.75800000000001,0
4720,89.183,0
4760,231.42699999999994,0
4800,58.83699999999999,0
4920,12739.653999999999,0.985655968364604
5000,50.751,0
5040,90.01400000000001,0
5080,290.6240000000001,0
5120,4344.052000000001,0.8876855065270857
5160,194.2789999999999,0
5170,90.108,0
5200,46.058,0
5240,93.121,0
5280,65.698,0
5320,8.699,0
5360,289.63499999999993,0
5520,223.20299999999997,0
5560,53796.169,0.9966912142015169
5600,23048.693,0.9809116291322897
5640,8075.554,0.9609469517509263
5680,78.73100000000001,0
5720,85.761,0
5800,95.778,0
5840,80.68400000000003,0
5880,319.997,0
5920,5113.487,0.9531108615314755
5960,82.29,0
6040,50.892999999999994,0
6080,72.57500000000002,0
6120,217.04099999999997,0
6140,126.043,0
6160,21411.773999999998,0.9781520671757511
6200,623.7439999999999,0
6280,573.475,0
6320,87.083,0
6400,137.698,0
6440,10396.245,0.9739525184333382
6480,85501.42,0.9980176118712414
6520,84.401,0
6560,78.81700000000001,0
6600,20.051000000000002,0
6640,102.50699999999996,0
6680,108.501,0
6720,74.606,0
6760,225.29600000000005,0
6800,88.82400000000001,0
6820,114.19,0
6840,249.314,0
6880,178.90900000000002,0
6920,11868.288,0.9680622007150483
6960,69.53999999999999,0
7000,104.205,0
7040,929.7560000000001,0
7080,4838.219,0.9858476848608961
7160,321.3000000000002,0
7240,453.80299999999977,0
7280,1531.6490000000006,0
7320,431.95200000000017,0
7360,31792.915999999997,0.985745566716812
7400,116.48700000000001,0
7520,74.42599999999999,0
7560,128.75400000000002,0
7600,429.52699999999976,0
7680,259.928,0
7720,147.904,0
7760,115.65700000000001,0
7800,40.31,0
7840,136.6,0
7880,306.062,0
7920,69.006,0
7960,109.409,0
8000,274.702,0
8120,148.389,0
8160,302.3930000000001,0
8200,83.40799999999999,0
8240,69.99799999999999,0
8280,302.852,0
8320,143.957,0
8360,120.77300000000001,0
8400,274.747,0
8440,117.86099999999999,0
8480,36576.885,0.9983670287942782
8520,5486.4439999999995,0.9196862302795764
8560,183.601,0
8600,168.63000000000002,0
8640,113.66000000000001,0
8680,170.06,0
8720,154.123,0
8800,69.90599999999999,0
8840,32406.893,0.9879220757139539
8920,12505.714,0.996763559441708
8960,121.38199999999999,0
9000,97.97299999999998,0
9040,245.15799999999993,0
9080,25.922,0
9120,173.13100000000003,0
9160,137.141,0
9200,19.958,0
9280,100.621,0
9320,229.67600000000004,0
NA,76013.599,1
